case_id,prompt_arm,expected_action,correct,category,difficulty,note
route_001,A_nl,knowledge_qa,1,single_intent_clear,low,Tier 0: both arms perfect (ceiling detected)
route_001,B_declarative,knowledge_qa,1,single_intent_clear,low,Tier 0: both arms perfect (ceiling detected)
route_002,A_nl,code_execute,1,single_intent_clear,low,Tier 0: both arms perfect (ceiling detected)
route_002,B_declarative,code_execute,1,single_intent_clear,low,Tier 0: both arms perfect (ceiling detected)
route_003,A_nl,web_search,1,boundary_overlap,medium,Tier 0: both arms perfect (ceiling detected)
route_003,B_declarative,web_search,1,boundary_overlap,medium,Tier 0: both arms perfect (ceiling detected)
route_004,A_nl,data_analysis,1,boundary_overlap,medium,Tier 0: both arms perfect (ceiling detected)
route_004,B_declarative,data_analysis,1,boundary_overlap,medium,Tier 0: both arms perfect (ceiling detected)
route_005,A_nl,api_call,1,conditional_priority,high,Tier 0: both arms perfect (ceiling detected)
route_005,B_declarative,api_call,1,conditional_priority,high,Tier 0: both arms perfect (ceiling detected)
route_006,A_nl,code_execute,1,conditional_priority,high,Tier 0: both arms perfect (ceiling detected)
route_006,B_declarative,code_execute,1,conditional_priority,high,Tier 0: both arms perfect (ceiling detected)
route_007,A_nl,web_search,1,implicit_intent,medium,Tier 0: both arms perfect (ceiling detected)
route_007,B_declarative,web_search,1,implicit_intent,medium,Tier 0: both arms perfect (ceiling detected)
route_008,A_nl,file_operation,1,implicit_intent,medium,Tier 0: both arms perfect (ceiling detected)
route_008,B_declarative,file_operation,1,implicit_intent,medium,Tier 0: both arms perfect (ceiling detected)
route_009,A_nl,data_analysis,1,exception_exclusion,high,Tier 0: both arms perfect (ceiling detected)
route_009,B_declarative,data_analysis,1,exception_exclusion,high,Tier 0: both arms perfect (ceiling detected)
route_010,A_nl,web_search,1,distractor_overlap,medium,Tier 0: both arms perfect (ceiling detected)
route_010,B_declarative,web_search,1,distractor_overlap,medium,Tier 0: both arms perfect (ceiling detected)
